AreaID,FRAM_stock_ID,run,1,2,3,4,5
1,69,3,0.117,0.713,0.999,1,1
1,70,3,0.117,0.713,0.999,1,1
2,55,3,0.021,0.256,0.664,1,1
2,56,3,0.021,0.256,0.664,1,1
2,77,3,0.039,0.19,0.632,1,1
2,78,3,0.039,0.19,0.632,1,1
3,35,3,0.024,0.271,0.965,1,1
3,36,3,0.024,0.271,0.965,1,1
3,37,3,0.042,0.736,0.994,1,1
3,38,3,0.042,0.736,0.994,1,1
3,39,3,0.047,0.268,0.842,1,1
3,40,3,0.047,0.268,0.842,1,1
3,41,9,0.01,0.039,0.402,1,1
3,42,9,0.01,0.039,0.402,1,1
3,43,9,0.096,0.812,0.995,1,1
3,44,9,0.096,0.812,0.995,1,1
3,45,2,0.006,0.081,0.466,1,1
3,46,2,0.006,0.081,0.466,1,1
3,47,9,0.067,0.301,0.779,1,1
3,48,9,0.067,0.301,0.779,1,1
3,49,1,0.174161,0.617,0.926,1,1
3,50,1,0.174161,0.617,0.926,1,1
3,51,1,0.045308,0.633,0.958,1,1
3,52,1,0.045308,0.633,0.958,1,1
3,53,3,0.084,0.379,0.887,1,1
3,54,3,0.084,0.379,0.887,1,1
3,65,2,0.059,0.182,0.845,1,1
3,66,2,0.059,0.182,0.845,1,1
3,67,9,0.045,0.384,0.855,1,1
3,68,9,0.045,0.384,0.855,1,1
4,71,3,0,0.125,0.48,1,1
4,72,3,0,0.125,0.48,1,1
4,73,9,0.005,0.12,0.498,1,1
4,74,9,0.005,0.12,0.498,1,1
5,1,3,0.019,0.533,0.991,1,1
5,2,3,0.019,0.533,0.991,1,1
5,3,1,0.013,0.374,0.947,1,1
5,4,1,0.013,0.374,0.947,1,1
5,5,1,0.013,0.374,0.947,1,1
5,6,1,0.013,0.374,0.947,1,1
5,7,9,0.04,0.262,0.759,1,1
5,8,9,0.04,0.262,0.759,1,1
5,9,9,0.04,0.264,0.759,1,1
5,10,9,0.04,0.264,0.759,1,1
5,11,1,0.006,0.066,0.674,1,1
5,12,1,0.006,0.066,0.674,1,1
5,13,3,0.011,0.15,0.877,1,1
5,14,3,0.011,0.15,0.877,1,1
5,15,3,0.027,0.147,0.804,1,1
5,16,3,0.027,0.147,0.804,1,1
5,17,3,0.023,0.265,0.965,1,1
5,18,3,0.023,0.265,0.965,1,1
5,19,3,0.016,0.113,0.728,1,1
5,20,3,0.016,0.113,0.728,1,1
5,21,3,0.038,0.374,0.96,1,1
5,22,3,0.038,0.374,0.96,1,1
5,23,3,0.084,0.123,0.82,1,1
5,24,3,0.084,0.123,0.82,1,1
5,25,3,0.095,0.478,0.977,1,1
5,26,3,0.095,0.478,0.977,1,1
5,27,3,0.076,0.119,0.842,1,1
5,28,3,0.076,0.119,0.842,1,1
5,29,1,0.07,0.258,0.884,1,1
5,30,1,0.07,0.258,0.884,1,1
5,31,3,0.067,0.463,0.957,1,1
5,32,3,0.067,0.463,0.957,1,1
5,33,3,0.319,0.273,0.924,1,1
5,34,3,0.319,0.273,0.924,1,1
5,59,2,0.101,0.359,0.974,1,1
5,60,2,0.101,0.359,0.974,1,1
5,61,1,0.019,0.205,0.96,1,1
5,62,1,0.019,0.205,0.96,1,1
5,63,9,0.12,0.423,0.944,1,1
5,64,9,0.12,0.423,0.944,1,1
5,75,9,0.025,0.167,0.617,1,1
5,76,9,0.025,0.167,0.617,1,1
6,57,3,0.028,0.226,0.778,1,1
6,58,3,0.028,0.226,0.778,1,1
