Area,j0,Age,Run,Origin,mu_j,sig_j,mu_t,sig_t,sig_tj
Cen.CA,1,2,2,1,6,2,7,1,2
NorCA.OR,2,2,2,1,6,2,8,1,2
Col.Riv,3,2,1,1,6,2,3,1,2
Col.Riv,3,2,2,2,6,2,3,1,2
Col.Riv,3,2,2,1,6,2,8,1,2
WA,4,2,2,1,6,2,8,1,2
SalishSea,5,2,2,1,6,2,8,1,2
WCVI.BC,6,2,2,1,7,2,8,1,2
WCVI.BC,6,2,2,2,7,2,8,1,2
SEAK,7,2,2,2,7,2,8,1,2
WAK,8,2,2,2,8,1,8,1,2
Cen.CA,1,1,1,1,8,1,6,1.5,2
NorCA.OR,2,1,1,1,8,1,6,1.5,2
Col.Riv,3,1,1,1,8,1,6,1.5,2
WA,4,1,1,1,8,1,6,1.5,2
SalishSea,5,1,1,1,8,1,6,1.5,2
WCVI.BC,6,1,1,1,8,1,6,1.5,2
SEAK,7,1,1,1,8,1,6,1.5,2
WAK,8,1,1,1,8,1,6,1.5,2
