Predator,age,sex,alpha
1,1,1,385
1,2,1,385
1,3,1,385
1,4,1,385
1,5,1,385
1,6,1,385
1,7,1,385
1,8,1,385
1,9,1,385
1,10,1,385
1,11,1,385
1,12,1,385
1,13,1,385
1,14,1,385
1,15,1,385
1,16,1,385
1,17,1,385
1,18,1,385
1,19,1,385
1,20,1,385
1,21,1,385
1,22,1,385
1,23,1,385
1,24,1,385
1,25,1,385
1,1,2,385
1,2,2,385
1,3,2,385
1,4,2,385
1,5,2,385
1,6,2,385
1,7,2,385
1,8,2,385
1,9,2,385
1,10,2,385
1,11,2,385
1,12,2,385
1,13,2,385
1,14,2,385
1,15,2,385
1,16,2,385
1,17,2,385
1,18,2,385
1,19,2,385
1,20,2,385
1,21,2,385
1,22,2,385
1,23,2,385
1,24,2,385
1,25,2,385
2,1,1,103
2,2,1,103
2,3,1,103
2,4,1,103
2,5,1,103
2,6,1,103
2,7,1,103
2,8,1,103
2,9,1,103
2,10,1,103
2,11,1,103
2,12,1,103
2,13,1,103
2,14,1,103
2,15,1,103
2,16,1,103
2,17,1,103
2,18,1,103
2,19,1,103
2,20,1,103
2,21,1,103
2,22,1,103
2,23,1,103
2,24,1,103
2,25,1,103
2,1,2,103
2,2,2,103
2,3,2,103
2,4,2,103
2,5,2,103
2,6,2,103
2,7,2,103
2,8,2,103
2,9,2,103
2,10,2,103
2,11,2,103
2,12,2,103
2,13,2,103
2,14,2,103
2,15,2,103
2,16,2,103
2,17,2,103
2,18,2,103
2,19,2,103
2,20,2,103
2,21,2,103
2,22,2,103
2,23,2,103
2,24,2,103
2,25,2,103
3,1,1,213.5
3,2,1,213.5
3,3,1,213.5
3,4,1,213.5
3,5,1,213.5
3,6,1,213.5
3,7,1,213.5
3,8,1,213.5
3,9,1,213.5
3,10,1,213.5
3,11,1,213.5
3,12,1,213.5
3,13,1,213.5
3,14,1,213.5
3,15,1,213.5
3,16,1,213.5
3,17,1,213.5
3,18,1,213.5
3,19,1,213.5
3,20,1,213.5
3,21,1,213.5
3,22,1,213.5
3,23,1,213.5
3,24,1,213.5
3,25,1,213.5
3,1,2,213.5
3,2,2,213.5
3,3,2,213.5
3,4,2,213.5
3,5,2,213.5
3,6,2,213.5
3,7,2,213.5
3,8,2,213.5
3,9,2,213.5
3,10,2,213.5
3,11,2,213.5
3,12,2,213.5
3,13,2,213.5
3,14,2,213.5
3,15,2,213.5
3,16,2,213.5
3,17,2,213.5
3,18,2,213.5
3,19,2,213.5
3,20,2,213.5
3,21,2,213.5
3,22,2,213.5
3,23,2,213.5
3,24,2,213.5
3,25,2,213.5
4,1,1,162.9063098
4,2,1,186.4026222
4,3,1,198.2054084
4,4,1,210.0081945
4,5,1,221.8109806
4,6,1,233.6137667
4,7,1,245.4165528
4,8,1,257.2193389
4,9,1,257.2193389
4,10,1,257.2193389
4,11,1,257.2193389
4,12,1,257.2193389
4,13,1,257.2193389
4,14,1,257.2193389
4,15,1,257.2193389
4,16,1,257.2193389
4,17,1,257.2193389
4,18,1,257.2193389
4,19,1,257.2193389
4,20,1,257.2193389
4,21,1,257.2193389
4,22,1,257.2193389
4,23,1,257.2193389
4,24,1,257.2193389
4,25,1,257.2193389
4,1,2,162.9063098
4,2,2,186.4026222
4,3,2,198.2054084
4,4,2,210.0081945
4,5,2,221.8109806
4,6,2,233.6137667
4,7,2,245.4165528
4,8,2,257.2193389
4,9,2,257.2193389
4,10,2,257.2193389
4,11,2,257.2193389
4,12,2,257.2193389
4,13,2,257.2193389
4,14,2,257.2193389
4,15,2,257.2193389
4,16,2,257.2193389
4,17,2,257.2193389
4,18,2,257.2193389
4,19,2,257.2193389
4,20,2,257.2193389
4,21,2,257.2193389
4,22,2,257.2193389
4,23,2,257.2193389
4,24,2,257.2193389
4,25,2,257.2193389
